"Feature name","Used in cyweb","Fully supported in cyjs v4","Comments/details","Category","Cyjs v3 API / properties","Works unchanged in v4","Cyweb evidence (repo-relative)","Cyjs v4 evidence (repo-relative)","Verification"
"Layout scaling tools","Yes (cyweb-owned)","Yes","Scaling modifies cyweb view-model positions; cyjs displays those coordinates. This is not a cyjs layout extension.","Layout","position updates","Yes","src/features/LayoutTools/scalingUtil.ts; src/features/LayoutTools/Scaling.tsx","src/collection.mts","Source review"
"Cosmos layout","Yes (external)","N/A","Cyweb uses its Cosmos engine, not the cyjs CoSE implementation. Preserve this engine and adapt only renderer position writes if necessary.","Layout","Cosmos","N/A","src/models/LayoutModel/impl/Cosmos/cosmosLayout.ts","N/A","Source review"
"G6 layouts","Yes (external)","N/A","Dagre, radial and gForce are provided by AntV/G6. v4 flow/radial are optional alternatives, not prerequisites or proven replacements.","Layout","dagre; radial; gForce","N/A","src/models/LayoutModel/impl/G6/Algorithms/g6Algorithms.ts; src/models/LayoutModel/impl/G6/g6Layout.ts","N/A","Source review"
"Circle packing layout","Yes (external)","N/A","D3 computes and renders the packing. Cyjs supplies roots/outgoers for the hierarchy data builder; those traversals are separately inventoried.","Layout","d3.pack; d3.stratify","N/A","src/features/HierarchyViewer/components/CirclePackingLayout/CirclePackingLayout.ts","N/A","Source review"
"Preset / saved positions","Yes (positions only)","Yes","Cyweb inserts saved x/y in element definitions and later writes positions. It does not explicitly run the cyjs preset layout in the main renderer. v4 accepts positions and also has preset.","Layout","element.position; position()","Yes","src/features/NetworkPanel/CyjsRenderer/cyjsFactoryUtil.ts; src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/element-defs.mts; src/layout/preset.mts","Source review"
"Other cyjs built-in layouts","No direct usage found","N/A","No production calls found for cyjs breadthfirst or random, nor a registered fCoSE/Cola/ELK extension. Do not treat these as cyweb migration requirements.","Layout","breadthfirst; random; fcose; cola; elk","N/A","src/models/LayoutModel/impl/Cyjs/Algorithms/cyjsAlgorithms.ts; package.json","src/core.mts","Source review"
"Selector-block stylesheet","Yes","No","createCyjsDataMapper returns an ordered array of selector/style blocks; v4 rejects it. Build nodes/edges/parents/core groups with declarative state/data mappings.","Style architecture","cy.style([{selector,style}])","No","src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review + headless probe (see README)"
"Direct data mappings","Yes","No","Cyweb materializes visual values in element data then emits data(key) strings. Replace numeric/colour/enum strings with {data:key}. Label strings retain compatibility. Font strings can silently become literal font names.","Style architecture","data(key)","No","src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; src/style-scales.mts","Source review + headless probe (see README)"
"Continuous/discrete/passthrough mapping","Yes (cyweb-owned)","Yes","Vizmapper evaluates these in cyweb before applyViewModel writes values to cyjs. Keeping that evaluation avoids changing cyweb interpolation semantics. Only the final cyjs data-mapper bridge must change; adopting v4 scales is optional.","Style architecture","computed view.values -> ele.data","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/computeViewUtil.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style-scales.mts","Source review"
"Named styles and style library","Yes (cyweb-owned)","Yes","Style sets, switching, persistence and undo are implemented in cyweb. v4 can replace the active sheet, but its sheet swap discards live bypasses unless included again.","Style architecture","cy.style(newStyle)","No: stylesheet and bypass handling","docs/specifications/MULTIPLE_VISUAL_STYLES.md; src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/style.mts; MIGRATING.md","Source review"
"Element data updates","Yes","Yes","data(key,value), removeData and automatic mapped-style updates remain available. The view data are computed by cyweb; network attributes live in separate tables.","Style architecture","data; removeData","Yes","src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/collection.mts; src/style.mts","Source review"
"Hover classes","Yes","No","hover and edge-creation-target classes drive highlights. v4 removes addClass/removeClass and class selectors. Use element data flags and case mappers.","Style architecture","addClass; removeClass; .hover; .edge-creation-target","No","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","MIGRATING.md","Source review + headless probe (see README)"
"Highlight legacy shape","Yes","No","Both class highlights use underlay-shape roundrectangle. v4 rejects it; spell round-rectangle even after replacing classes.","Style architecture","underlay-shape: roundrectangle","No","src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts","Source review + headless probe (see README)"
"Highlight underlay paint","Yes","Yes","Underlay colour, padding, opacity and canonical round-rectangle are available. Rebuild the activation condition using data or hover state.","Style","underlay-color; underlay-padding; underlay-opacity; underlay-shape","No: classes and shape spelling","src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts","Source review"
"nodeShape","Yes","Yes","Cyweb offers rectangle, diamond, ellipse, hexagon, octagon, parallelogram, round-rectangle, triangle and vee. It translates parallelogram to rhomboid. All resulting canonical v4 shapes exist.","Style property","shape","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeHeight","Yes","Yes","nodeHeight maps to height. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","height","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeWidth","Yes","Yes","nodeWidth maps to width. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","width","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeBackgroundColor","Yes","Yes","nodeBackgroundColor maps to background-color. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","background-color","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeOpacity","Yes","Yes","nodeOpacity maps to background-opacity. v4 folds channel opacity into colour alpha at write time; visual channel is supported, but readback and update order need checking.","Style property","background-opacity","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeBorderColor","Yes","Yes","nodeBorderColor maps to border-color. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","border-color","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeBorderLineType","Yes","No (partial)","solid/dotted/dashed/double are rendered. Double-border gap compositing differs: v4 can show a crossing edge beneath the gap, where v3 erases to the background. Exact visual parity is not complete.","Style property","border-style","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeBorderWidth","Yes","Yes","nodeBorderWidth maps to border-width. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","border-width","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeBorderOpacity","Yes","Yes","nodeBorderOpacity maps to border-opacity. v4 folds channel opacity into colour alpha at write time; visual channel is supported, but readback and update order need checking.","Style property","border-opacity","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeLabel","Yes","Yes","nodeLabel maps to label. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","label","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeLabelColor","Yes","Yes","nodeLabelColor maps to color. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","color","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeLabelFontSize","Yes","Yes","nodeLabelFontSize maps to font-size. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","font-size","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeLabelFont","Yes","No (partial)","Cyweb maps font-family per node/edge. v4 permits one global constant font face per instance; mapped fonts are rejected. Preserve mixed per-element fonts only with a separate rendering solution.","Style property","font-family","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review + headless probe (see README)"
"nodeLabelPosition","Yes","Yes","Special converter produces text-halign, text-valign, text-margin-x/y and text-justification. All are supported. Preserve cyweb anchor/offset translation; defaults differ if omitted.","Style property","text-halign; text-valign; text-margin-x; text-margin-y; text-justification","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeLabelRotation","Yes","Yes","Cyweb converts degrees to radians and supports autorotation. v4 supports numeric text-rotation and autorotate. Preserve that unit conversion.","Style property","text-rotation","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeLabelOpacity","Yes","Yes","nodeLabelOpacity maps to text-opacity. v4 folds channel opacity into colour alpha at write time; visual channel is supported, but readback and update order need checking.","Style property","text-opacity","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeVisibility","Yes","No (partial)","Cyweb maps visibility to display, which v4 rejects. Reconcile mapped visibility and hide/show filters through structural show()/hide(). visibility:hidden only suppresses paint and is not equivalent.","Style property","display","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review + headless probe (see README)"
"nodeZOrder","Yes","No","Arbitrary per-element z-index is removed. v4 draws parents, edges, leaf nodes, then labels, with slot order within each stream. No equivalent for cyweb node/edge z-order controls.","Style property","z-index","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review + headless probe (see README)"
"nodeSelectedPaint","Yes","Yes","Selection colour exists through case conditions with selected:true. Replace node:selected/edge:selected blocks and preserve selection priority over the normal data colour.","Style property","background-color","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"nodeMaxLabelWidth","Yes","Yes","nodeMaxLabelWidth maps to text-max-width. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","text-max-width","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeLineType","Yes","Yes","edgeLineType maps to line-style. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","line-style","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeLineColor","Yes","Yes","edgeLineColor maps to line-color. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","line-color","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeWidth","Yes","Yes","edgeWidth maps to width. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","width","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeTargetArrowShape","Yes","Yes","Source/target shapes and filled/hollow variants are supported. Keep cyweb Arrow -> triangle and open-shape -> canonical shape plus arrow-fill translation.","Style property","target-arrow-shape","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeSourceArrowShape","Yes","Yes","Source/target shapes and filled/hollow variants are supported. Keep cyweb Arrow -> triangle and open-shape -> canonical shape plus arrow-fill translation.","Style property","source-arrow-shape","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeTargetArrowColor","Yes","Yes","edgeTargetArrowColor maps to target-arrow-color. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","target-arrow-color","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeSourceArrowColor","Yes","Yes","edgeSourceArrowColor maps to source-arrow-color. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","source-arrow-color","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeLabel","Yes","Yes","edgeLabel maps to label. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","label","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeLabelColor","Yes","Yes","edgeLabelColor maps to color. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","color","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeLabelFontSize","Yes","Yes","edgeLabelFontSize maps to font-size. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","font-size","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeLabelFont","Yes","No (partial)","Cyweb maps font-family per node/edge. v4 permits one global constant font face per instance; mapped fonts are rejected. Preserve mixed per-element fonts only with a separate rendering solution.","Style property","font-family","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review + headless probe (see README)"
"edgeLabelRotation","Yes","Yes","Cyweb converts degrees to radians and supports autorotation. v4 supports numeric text-rotation and autorotate. Preserve that unit conversion.","Style property","text-rotation","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeLabelOpacity","Yes","Yes","edgeLabelOpacity maps to text-opacity. v4 folds channel opacity into colour alpha at write time; visual channel is supported, but readback and update order need checking.","Style property","text-opacity","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeOpacity","Yes","Yes","edgeOpacity maps to line-opacity. v4 folds channel opacity into colour alpha at write time; visual channel is supported, but readback and update order need checking.","Style property","line-opacity","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeVisibility","Yes","No (partial)","Cyweb maps visibility to display, which v4 rejects. Reconcile mapped visibility and hide/show filters through structural show()/hide(). visibility:hidden only suppresses paint and is not equivalent.","Style property","display","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review + headless probe (see README)"
"edgeSelectedPaint","Yes","Yes","Selection colour exists through case conditions with selected:true. Replace node:selected/edge:selected blocks and preserve selection priority over the normal data colour.","Style property","line-color","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeMaxLabelWidth","Yes","Yes","edgeMaxLabelWidth maps to text-max-width. Property capability exists in v4; use the new stylesheet/data-mapper bridge.","Style property","text-max-width","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review"
"edgeZOrder","Yes","No","Arbitrary per-element z-index is removed. v4 draws parents, edges, leaf nodes, then labels, with slot order within each stream. No equivalent for cyweb node/edge z-order controls.","Style property","z-index","No: shared stylesheet bridge","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; MIGRATING.md","Source review + headless probe (see README)"
"Bezier edges and self-loops","Yes","Yes","Main stylesheet explicitly sets bezier, so retain it: v4 defaults to straight. Parallel-edge bundles and self-loop geometry exist.","Style","curve-style: bezier","No: shared stylesheet bridge","src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; src/README.md","Source review"
"Wrapped labels","Yes","Yes","Base node and edge sheets set text-wrap:wrap; max widths are separate visual properties. v4 supports wrapping.","Style","text-wrap: wrap","No: shared stylesheet bridge","src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/label-wrap.mts; src/style.mts","Source review"
"Hollow arrow fill","Yes","Yes","Open arrow choices generate source-arrow-fill/target-arrow-fill data and canonical shapes. v4 supports filled/hollow at both endpoints.","Style","source-arrow-fill; target-arrow-fill","No: shared stylesheet bridge","src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts","Source review"
"Node size / arrow colour locks","Yes (cyweb-owned)","Yes","Cyweb copies height to width and line colour to arrow colours in the view-to-data bridge. No special cyjs lock feature is required.","Style","nodeSizeLocked; arrowColorMatchesEdge","No: shared stylesheet bridge","src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts","Source review"
"Pie and ring charts","Yes","No (partial)","Cyweb emits pie-size, pie-start-angle, pie-hole and 16 pairs of pie-N-background-color/size. v4 rejects old names. Use chart:pie, chart-values, chart-colors, chart-size, chart-hole and chart-start-angle; verify size/angle units and percentage normalization.","Custom graphics","pie-*","No","src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts; src/models/VisualStyleModel/impl/customGraphicsImpl.ts","src/style.mts; src/render/chart-pipeline.mts","Source review + headless probe (see README)"
"Node image custom graphics","Yes","Yes","URL/data-URI background-image, background-fit and crossorigin exist. Vizmapper drives them through data. Port mappings and verify actual image loading in a browser.","Custom graphics","background-image; background-fit; background-image-crossorigin","No: shared stylesheet bridge","src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts","src/style.mts; src/image-registry.mts","Source review"
"App-supplied node images","Yes","Yes","Element style bypass supports background-image/fit/opacity/crossorigin/containment. This capability exists, including SVG URLs, but stylesheet swap semantics break the current unchanged-image diff cache.","Custom graphics","node.style({...}); node.removeStyle(...)","No: bypass retention","src/features/NetworkPanel/CyjsRenderer/nodeGraphicsApply.ts","src/collection.mts; src/image-registry.mts","Source review"
"Image bypass retention","Yes","No (partial)","cyweb relies on v3 retaining node.style bypasses across cy.style swaps. v4 replaces bypasses with the sheet. Reapply even unchanged graphics, or merge bypasses into the new sheet; current reference/size diff can skip reapplication.","Custom graphics","style swap + WeakMap image cache","No","src/features/NetworkPanel/CyjsRenderer/nodeGraphicsApply.ts; src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/style.mts; MIGRATING.md","Source review + headless probe (see README)"
"Nine custom-graphics slots","Partially (cyweb)","No (partial)","Model exposes nine image/chart slots with positions/sizes, but renderer gates on the first valid custom graphic and emits a single chart/image path. Do not interpret 27 placeholder pie-size mappings as 27 real rendered properties or claim nine simultaneous v3 layers. v4 native charts do not supply nine independent chart layers.","Custom graphics","nodeImageChart1..9; positions; sizes","No","src/models/VisualStyleModel/impl/cyJsVisualPropertyConverter.ts; src/features/NetworkPanel/CyjsRenderer/cyjsRenderUtil.ts; src/models/VisualStyleModel/impl/customGraphicsImpl.ts","src/style.mts","Source review"
"Network background colour","Yes","No (partial)","Rendered by cyweb on the bottom cytoscape-canvas layer, not a native network background-color stylesheet property. Replace the extension with a managed canvas/DOM background and account for exports.","Annotations","networkBackgroundColor; cyCanvas","No","src/features/NetworkPanel/CyjsRenderer/annotations/cyjsAnnotationRenderer.js","MIGRATING.md; src/core.mts","Source review"
"CX annotations","Yes","No","Three cyCanvas layers (background/bottom/top) paint shapes, text and other CX annotations with 2D canvas transforms. No v4 core/renderer extension surface. Port layer ownership and redraw/resize synchronization outside the registry.","Annotations","cytoscape-canvas; cy.cyCanvas","No","src/features/NetworkPanel/CyjsRenderer/annotations/cyjsAnnotationRenderer.js","MIGRATING.md; src/render/renderer.mts","Source review"
"Extension registration","Yes","No","Canvas registers eagerly; SVG/PDF register lazily; biological-flow registers in layout module. v4 has no cytoscape.use. A dependency version swap alone cannot boot these modules.","Integration","cytoscape.use","No","src/models/LayoutModel/impl/Cyjs/cyjsLayout.ts; src/features/NetworkPanel/CyjsRenderer/registerCyExtensions.ts; src/features/ToolBar/DataMenu/ExportNetworkToImage/registerCyImageExportExtensions.ts","src/index.mts; MIGRATING.md","Source review + headless probe (see README)"
"Rendered core / readiness","Yes","No (partial)","Cyweb immediately stores a rendered core and creates annotation layers. v4 requires WebGPU and exposes ready as a Promise; await readiness and handle failure. There is no Canvas2D fallback.","Integration","cytoscape({container})","No","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/index.mts; src/core.mts; MIGRATING.md","Source review"
"Widespread renderer support","Yes","No","Cyweb currently uses the v3 default Canvas2D renderer, giving it a rendering path without WebGPU. The current v4 branch supports WebGPU only, with no WebGL or Canvas2D fallback. User requirement: v4 needs WebGL support for widespread renderer availability. This is a renderer implementation gap, not just a cyweb adapter change.","Renderer support","v3 default Canvas2D renderer; required v4 WebGL fallback","No","src/features/NetworkPanel/CyjsRenderer/CyjsRenderer.tsx","src/index.mts; MIGRATING.md","Source review"
